lat,long,Id,LotArea,balcony,loggia,veranda,kitchen,numberOfFloors,floor,numberOfRooms,numberOfBedrooms,ceilingHeight,numberOfBathrooms,SalePrice
41.751530900466,44.7319865,272147,156,0,0,0,0,2,0,5,3,0,3,115000
41.67694830046,44.8397739,272144,34,0,0,0,0,16,1,1,0,0,0,32000
41.691441500461,44.8340653,272125,65,1,0,0,0,18,17,3,2,0,1,109000
41.725306700464,44.716596,272123,58,1,0,0,0,22,14,3,2,0,1,90000
41.707149000463,44.7803463,272115,50,1,0,0,0,8,1,2,1,0,1,116000
41.7324648,44.7257857,272099,54,0,0,0,0,9,5,2,1,3,1,43000
41.685628708264,44.815621781003,272072,129,0,0,0,0,3,2,2,1,0,1,115000
41.729438172495,44.788731371603,272059,60,1,0,0,0,3,2,2,1,0,1,58000
41.723853200464,44.7889605,272058,95,1,0,0,0,3,2,4,3,0,1,95000
41.695838600462,44.8025239,272039,75,0,0,0,0,3,2,3,2,0,2,135000
41.703323600462,44.7948921,272025,71,0,0,0,0,2,2,5,2,0,1,145000
41.6904405,44.8061785,272020,78,0,0,0,0,3,2,3,2,0,2,135000
41.6912471,44.8012161,272017,63,0,0,0,0,3,2,3,2,0,2,110000
41.6920592,44.7984972,272015,64,0,0,0,0,3,3,3,0,4,1,98000
41.76484858698984,44.79087009416502,272010,64,0,0,0,0,6,2,3,2,0,1,47000
41.7273735,44.7440529,271994,128,0,0,0,0,10,3,4,3,3,2,125000
41.7310707,44.7605713,271937,57,0,0,0,0,8,3,2,1,0,1,70000
41.7322076,44.7873491,271935,71,0,0,0,0,14,13,3,2,0,1,75000
41.7279173,44.73809869999999,271931,50,0,0,0,0,16,5,2,1,0,1,78000
41.6897286,44.8076114,271928,43,0,0,0,0,2,1,2,1,0,1,130000
41.7233307,44.7695406,271907,85,0,0,0,0,9,4,3,2,0,1,92000
41.7333065,44.74195,271902,93,0,0,0,0,12,12,4,3,0,1,88000
41.7279173,44.73809869999999,271897,65,0,0,0,0,16,15,2,1,0,1,93000
41.7207921,44.7086281,271896,82,0,0,0,0,10,2,3,2,0,1,84000
41.67512989999999,44.8393062,271895,77,0,0,0,0,31,6,3,2,0,1,96900
41.7274332,44.737804,271894,57,0,0,0,0,9,4,3,1,0,1,62000
41.7274332,44.737804,271891,133,0,0,0,0,5,5,4,2,0,2,120000
41.744212,44.7190421,271890,120,0,0,0,0,6,4,3,2,0,1,105000
41.7025581,44.7715719,271884,84,0,0,0,0,7,1,3,2,0,1,130000
41.723634,44.7631864,271876,49,0,0,0,0,12,5,2,1,0,1,70000
41.7179807,44.7811526,271875,44,0,0,0,0,22,10,2,1,0,1,67000
41.7306636,44.7635872,271874,43,0,0,0,0,7,5,2,1,0,1,77000
41.71103710000001,44.7612664,271848,80,0,0,0,0,10,2,3,2,0,1,125000
41.6725352,44.8648757,271840,60,3,0,0,0,9,7,2,1,2,1,94467
41.723634,44.7631864,271825,95,0,0,0,0,6,2,2,1,3,1,110000
41.6889568,44.8772251,271822,67,3,0,0,0,12,6,3,2,0,1,57000
41.7252445,44.7562645,271811,65,0,0,0,0,15,11,2,1,0,1,78000
41.6890629,44.8205481,271801,75,3,0,0,0,9,6,3,2,0,1,120000
41.7109105,44.758644,271799,60,0,0,0,0,22,10,2,1,0,1,130000
41.7131432,44.7143903,271792,65,0,0,0,0,19,17,3,2,0,1,70000
41.7213088,44.7633598,271786,85,0,0,0,0,8,6,3,2,0,1,105000
41.7226791,44.7523127,271785,85,0,0,0,0,8,5,3,2,0,1,100000
41.72445279999999,44.7448629,271783,61,0,0,0,0,13,12,2,1,0,1,69000
41.7524523,44.7756038,271782,145,0,0,0,0,17,15,4,3,0,2,145000
41.7249769,44.7537828,271780,104,0,0,0,0,9,2,3,2,0,1,80000
41.6891979,44.8016493,271779,50,0,0,0,0,3,1,2,1,0,1,90000
41.681832900461,44.8210231,271777,82,0,0,0,0,12,3,4,3,0,1,80000
41.7131432,44.7143903,271774,61,0,0,0,0,11,7,2,1,0,1,82500
41.7100817,44.7310039,271772,85,0,0,0,0,13,8,3,2,0,1,115000
41.7150193,44.7640541,271767,102,0,0,0,0,12,2,2,2,0,2,98000
41.7173574,44.7645248,271765,110,0,0,0,0,9,5,4,2,2,2,95000
41.702360200462,44.8522954,271760,82,0,0,0,0,9,1,3,2,2,2,60000
41.7272051,44.7849086,271756,90,0,0,0,0,18,16,3,1,0,0,95000
41.7924291,44.7601313,271752,85,0,0,0,0,13,9,3,2,0,1,75000
41.7024243,44.8691779,271750,74,0,0,0,0,14,13,3,2,0,1,55000
41.70814644173884,44.86235976219177,271746,69,0,0,0,0,10,7,4,2,3,1,52000
41.79610309999999,44.77988690000001,271743,75,0,0,0,0,10,4,4,2,3,1,90000
